urn,label,description,data,link
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:0,Scheria (Island),,,http://geo-kima.org/place/22949
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:1,Ethiopia,country in East Africa,"coordinates=""9, 40""",http://geo-kima.org/place/6924
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:2,Aethiopia,Aethiopia is a term used in the Classical sources to refer both to Upper Egypt and the regions south of the Sahara desert. It is employed as early as the time of Homer.,"coordinates=""3.5, 32.5""",http://pleiades.stoa.org/places/334481
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:3,Pieria,"Originally the territory of the Pieres, later incoporated into Macedonia","coordinates=""22.424792491340284, 40.13002811595563""",http://pleiades.stoa.org/places/491696
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:4,Aegae,"An ancient place, cited: BAtlas 56 E4 Aegae","coordinates=""27.19367, 38.83379""",http://pleiades.stoa.org/places/550404
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:5,Ilium/Troia,An ancient city of northwest Anatolia with occupation ranging from the Bronze Age to the Roman period. Troy features as the central setting of Homer's Iliad.,"coordinates=""26.23845862267349, 39.95743278441429""",http://pleiades.stoa.org/places/550595
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:6,Achaea/Achaia (region),An ancient Greek region on the northern coast of the Peloponnese.,"coordinates=""22.224585911364017, 38.102121472776034""",http://pleiades.stoa.org/places/570028
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:7,Argos,Argos was a city of ancient Greece that reached its cultural highpoint under Pheidon in the seventh century BC.,"coordinates=""22.719464, 37.631561""",http://pleiades.stoa.org/places/570106
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:8,Lacedaemon/Laconia,Lacedaemon/Laconia is a region comprising the south-eastern part of the Peloponnese.,"coordinates=""22.460186899999997, 37.075742175""",http://pleiades.stoa.org/places/570406
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:9,Pylos/Koryphasion,"A Classical settlement, probably the Pylos of Thucydides, on the Koryphasion promontory, (modern Akr. Koryphasiou in Messenia) in the Peloponnese.","coordinates=""21.659888, 36.9520305""",http://pleiades.stoa.org/places/570640
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:10,Ortygia,"An ancient place, cited: BAtlas 61 E2 Ortygia","coordinates=""27.339225, 37.829783""",http://pleiades.stoa.org/places/599840
