sentence_id,word - id,word - ref,word - form,word - head,word - relation,word - lemma,word - postag,Didakta tags,Primary translation,Literal translation,Secondary translation,,word - gloss,word - sem,word - artificial,word - insertion_id
1,1,Leuven|0059-003|1|1,τί,3,ADV,τίς,p-s---na-,,برای چه, چرا ,چرا,,"1: wie?, welke?",oorzaak/reden,,
1,2,Leuven|0059-003|1|2,τηνικάδε,3,ADV,τηνικάδε,d--------,,بدین زودی, در این وقت,اکنون,,"at this time, then",,,
1,3,Leuven|0059-003|1|3,ἀφῖξαι,0,PRED,ἀφικνέομαι,v2srie---,,آمده‌ای,آمده‌ای,آمده‌ای,,"arrive at, come to, reach:",,,
1,4,Leuven|0059-003|1|4,",",0,AuxX,",",u--------,,,,,,1: ,,,
1,5,Leuven|0059-003|1|5,ὦ,6,AuxZ,ὦ,i--------,,ای,ای,ای,,1: (blijft onvertaald),,,
1,6,Leuven|0059-003|1|6,Κρίτων,3,ExD,Κρίτων,n-s---mv-,,کریتون,کریتون,کریتون,,,,,
1,7,Leuven|0059-003|1|7,;,0,AuxK,;,u--------,,,,,,1: ,,,
2,1,Leuven|0059-003|2|1,ἢ,5,AuxY,ἤ,b--------,,یا,یا,یا,,1: zeker | werkelijk (partikel in een directe vraag),,,
2,2,Leuven|0059-003|2|2,οὐ,5,AuxZ,οὐ,d--------,,نیست,نیست,نیست,,1: niet,,,
2,3,Leuven|0059-003|2|3,πρῲ,5,ADV,πρωΐ,d--------,,خیلی زود,زود,زود,,3: ´s ochtends | in het begin,,,
2,4,Leuven|0059-003|2|4,ἔτι,3,ADV,ἔτι,d--------,,اکنون,دیگر,هنوز,,1: nog,,,
2,5,Leuven|0059-003|2|5,ἐστίν,0,PRED,εἰμί,v3spia---,,نیست,نیست,نیست,,1: gaan,,,
2,6,Leuven|0059-003|2|6,;,0,AuxK,;,u--------,,,,,,1: ,,,
3,1,Leuven|0059-003|3|1,πάνυ,5,ADV,πάνυ,d--------,,آری همینطور است,البته که چنین است,یقینا زود است,,"1: zeer, heel",,,
3,2,Leuven|0059-003|3|2,μὲν,5,AuxY,μέν,d--------,,آری همینطور است ,البته که چنین است,یقینا زود است,,1: wel...,,,
3,3,Leuven|0059-003|3|3,οὖν,5,AuxY,οὖν,d--------,,آری همینطور است,البته که چنین است,یقینا زود است,,1: dus,,,
3,4,Leuven|0059-003|3|4,.,0,AuxK,.,u--------,,,,,,1: ,,,
3,5,Leuven|0059-003|3|5,[0],0,PRED,,,,,,,,,,elliptic,0004e
4,1,Leuven|0059-003|4|1,πηνίκα,4,ADV,πηνίκα,d--------,,حدودا,دقیقا ,دقیقا ,,at what precise point of time? at what hour?,,,
4,2,Leuven|0059-003|4|2,μάλιστα,1,ADV,μάλα,d-------s,,چه هنگام,چه زمانی,چه هنگام,,"1: zeer, veel",,,
